"플레이스보고서(2025.06.01.~2025.06.30.),ndh5622:naver"
"캠페인유형",캠페인,광고그룹,PC/모바일 매체,검색어,노출수,클릭수,"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",평균노출순위
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,건설인력사무소,4,1,704,704,2.8
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,건설인력업체,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,건설현장인력,3,0,0,0,1.3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,공사인부,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,공사현장알바,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,근처인력,3,0,0,0,3.3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,보조인력,18,0,0,0,1.5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,상하차,19,0,0,0,2.5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,여자노가다,3,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,온라인인력사무소,1,0,0,0,4
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,용역사무소,2,0,0,0,2.5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,용역사무실,15,1,583,583,2.1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,용접사일당,1,0,0,0,4
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,이사인력,3,0,0,0,3.3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,이사인력사무소,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력,254,5,"1,692","8,459",4.1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력경비,1,0,0,0,4
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력사무소,706,18,"1,908","34,342",3.3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력사무소운영,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력사무실,6,0,0,0,3.5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력센터,7,1,539,539,1.7
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력소,64,1,"1,089","1,089",2.4
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력소개소,9,1,"2,046","2,046",1.8
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력수급,2,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력용역,3,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,인력회사,4,0,0,0,1.3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,일용직인력,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,장유인력,4,2,363,726,1.3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,철거인건비,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,철거인력,5,1,"2,937","2,937",2.4
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,청소인력,6,0,0,0,2.2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,청소인력사무소,1,0,0,0,3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,페인트인력,6,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _mo,모바일,현장인력,2,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,건설인력구인,2,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,곰방구인구직,2,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,곰방일당,3,0,0,0,2.3
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,노가다곰방,2,0,0,0,1.5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,노가다구인구직,3,0,0,0,2.3
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,노가다알바,6,2,171,341,4.2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,노가다일당,14,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,노가다일자리,8,1,220,220,3.6
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,노가다잡부,4,2,121,242,1.8
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,노가다잡부일당,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,막노동일당,8,0,0,0,2.4
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,배관일자리,6,0,0,0,1.3
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,여성인력사무소,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,여자인력사무소,2,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,용역일당,7,0,0,0,2.7
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,인력사무소일당,3,0,0,0,6
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,일당일자리,1,1,88,88,1
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,일용직공고,1,0,0,0,3
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,일자리,4,0,0,0,24.5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,주말일당,2,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,현장노가다,2,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,현장알바,1,0,0,0,4
"파워링크",💎[RD]부산수영_지역설정,서브 kw _mo,모바일,현장일용직,1,0,0,0,5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,건설알바,3,2,94,187,5.7
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,건설인력구인,2,1,187,187,3.5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,건설현장알바,3,0,0,0,6
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,곰방일자리,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,공사알바,1,0,0,0,3
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,노가다곰방,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,노가다구인,1,0,0,0,10
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,노가다구인구직,1,0,0,0,4
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,노가다알바,5,0,0,0,4.6
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,노가다일당,5,0,0,0,3
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,노가다일자리,2,0,0,0,3.5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,노가다잡부,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,막노동일당,1,0,0,0,3
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,용역일당,2,0,0,0,3.5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,일용직구인,2,0,0,0,9
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,일용직구인구직,1,0,0,0,10
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,일용직아르바이트,1,0,0,0,6
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,일용직알바,4,0,0,0,9
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,일용직일당,3,0,0,0,8
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,일용직일자리,2,0,0,0,7
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,일용직채용,2,0,0,0,9
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,일자리,2,0,0,0,24.5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,전기조공,16,0,0,0,8.5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,주말일당,2,0,0,0,1.5
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,현장노가다,3,0,0,0,2.7
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,현장알바,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,서브 kw _pc,PC,현장일용직,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,공사인력,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,공장노가다,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,공장일당,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,근처인력,3,0,0,0,3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,무대철거알바,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,상하차,24,0,0,0,5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,여자노가다,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,용역사무소,2,0,0,0,1.5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,용역사무실,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,용접사일당,1,0,0,0,3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력,61,2,"1,023","2,046",5.2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력관리회사,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력사무소,122,0,0,0,4.5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력사무실,3,0,0,0,1.7
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력센터,2,0,0,0,4
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력소,13,1,"1,111","1,111",2.1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력소개소,2,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력수급,3,0,0,0,2.3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력용역,2,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력파견회사,1,0,0,0,6
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인력회사,8,0,0,0,2.3
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,인테리어인력,2,0,0,0,1
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,일용직인력,2,0,0,0,5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,직업소개소,44,1,968,968,1.4
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,청소인력,2,0,0,0,3.5
"파워링크",💎[RD]부산수영_지역설정,메인 kw _pc,PC,현장인력,2,0,0,0,2.5
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,강서구오늘인력,1,1,198,198,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,강서구인력,13,1,913,913,3.6
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,강서구인력사무소,21,0,0,0,2.6
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,강서구인력사무실,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,강서구인력센터,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,강서구직업소개소,3,0,0,0,1.7
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,경비인력일,1,0,0,0,3
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,금정구용접인력,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,금정구인력,4,0,0,0,2
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,금정구인력사무소,8,0,0,0,1.3
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,동래구인력,2,0,0,0,4
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,동래구인력사무소,2,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산강서구인력사무소,3,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산개미인력,3,0,0,0,6.7
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산건설인력사무소,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산경비인력,12,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산공사인력,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산금정구인력,1,0,0,0,2
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산기장인력사무소,4,1,308,308,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산노가다일당,1,0,0,0,3
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산도배인력,1,1,77,77,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산동래구인력사무소,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산동래구인력업체,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산사상구인력사무소,1,0,0,0,3
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산사상여성인력,1,0,0,0,1
"파워링크",💎[RD]부산수영_지역조합,메인-지역조합 1,PC,부산사상여성인력센터,1,0,0,0,1
